arxiv_id,versioned_id,title,authors,published,updated,abstract,categories,comment,journal_ref,doi,url,pdf_url,tier,category,relationship,priority,task_data,main_finding,caveat,survey_value,code_url,code_status,evidence_locator,independent_rerun,review_depth,evidence_status,retrieval_date,study_family
2609.26758,2609.26758v1,"Type-Safe Is Not Error-Free: A Constrained Decision Head Follows the Option Name, Not the Rubric Bound to It","[""Yu Sun"", ""Junhao Xu""]",2026-09-22T17:38:12Z,2026-09-22T17:38:12Z,"Typed decision models are built for settings where model outputs are consumed directly by software. Instead of generating free-form text, they return a decision over a predefined set of options. By construction, every output conforms to the required schema. Yet this guarantee does not tell us whether the model interprets the options as intended. We study Jev and two Jev-like models with open weights by changing how option names are assigned to rubrics. Each option consists of an option name and a textual rubric that defines what the option means. We change only which option name is assigned to each rubric; the question, state, rubric wording, and set of option names remain exactly the same. On 1200 workflow decisions with task-specific rubrics, renaming the two options from 0/1 to no/yes changes 70.4 more answers per hundred (95% CI: [67.6, 73.1]) and shifts AUC from .94 to .23, revealing a systematic reversal in the decision ranking rather than simple uncertainty. The same operation has little effect with neutral option names. This pattern holds across all 4 predicates, where the effect is at least 7.4x larger than under the neutral control, and becomes stronger as the number of options increases. The effect also depends on the read-out geometry: a second model family that mean-pools over the full option span flips 4.1x less often. The hosted model exhibits the same behavior: the swap changes AUC from .8146 to .5806 and produces 24x as many answer flips as its test-retest floor. In contrast, replacing the option names with random character strings returns all model families to the neutral-control regime without reducing accuracy. The failure therefore depends on the semantic polarity of the option names rather than on the renaming operation itself. Across all conditions, the type-error rate remains 0%, even when decision accuracy degrades substantially.","[""cs.AI""]",,,,https://arxiv.org/abs/2609.26758v1,https://arxiv.org/pdf/2609.26758v1,core,可靠性与语义鲁棒性,商业 Jev 黑箱评测 + 两种开放决策头,P0,"1,200 条带任务专用 rubric 的二分类工作流决策；另有通用 rubric、多选与随机名称实验。",只交换选项名称与 rubric 的绑定，托管 Jev 的 AUROC 从 0.8146 降到 0.5806；所有条件下类型错误率仍为 0%。,摘要中约 0.94→0.23 的大幅反转来自开放 marker 决策头，不能归给 Jev。开放模型各仅一个 checkpoint；英语、黑箱服务时点与多选基线限制外推。,将类型合法性、语义等变性、排序质量与测试重测噪声分开；选项顺序交换与名称/rubric 重绑定是不同干预。,,正文声称发布 harness；本轮未定位到可唯一对应的公开仓库。,"Abstract; sections 3, 4.6, 4.7, 7; Tables 6–7",False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
2609.26550,2609.26550v1,"JEV-as-a-Judge: Accept When Confident, Escalate When Unsure","[""Yubo Li"", ""Yidi Miao"", ""Ramayya Krishnan"", ""Rema Padman""]",2026-09-22T15:05:56Z,2026-09-22T15:05:56Z,"LLM-as-a-judge enables evaluation across diverse tasks, but inference cost and confidence reliability become critical at scale. We study whether a decision-only judge can provide an economical first pass and identify when stronger evaluation is needed. Comparing jev-as-a-judge with sixteen generative and reward-model judges, with blinded human adjudication, we find it within three percentage points of a state-of-the-art LLM judge, our strongest comparator, on ordinary preference and evidence-grounded factuality at 0.36% of the comparator's fee. Larger gaps arise when judgments require checking a derivation or resisting an elaborately written wrong answer. On several benchmarks, JEV's gap to this comparator is concentrated in low-confidence decisions. A frozen cascade that accepts confident verdicts and escalates uncertain ones retains 99% of the comparator's accuracy at lower cost.","[""cs.AI""]",,,,https://arxiv.org/abs/2609.26550v1,https://arxiv.org/pdf/2609.26550v1,core,评判器与选择性升级,商业 Jev 与生成式/奖励模型 judge 比较,P0,"17 种 judge 配置；主扩展包含 1,312 项，另有 RewardBench 2、RM-Bench 等诊断；183 项争议样本的人类复核。",普通偏好与有证据的事实判断上，Jev 距最强比较器不足 3 个百分点，费用为其 0.36%；冻结的双顺序级联保留约 99% 的比较器准确率，费用约为 57%。,不同任务和级联不能混用分母；部分扩展在看过初步结果后开展。人类复核由一位作者完成，样本按模型分歧选取；推导审查和风格对抗更难。,区分原生概率和口头概率；双顺序 judge、独立阈值集、无效输出计错、费用与真实级联延迟分别报告。,,正文指向匿名 supplementary ZIP；未确认公开可取的完整包。同名 GitHub 项目不能自动匹配。,"Abstract; sections 3, 7; Conclusion; Limitations; Appendix L",False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
2609.26532,2609.26532v1,REFLEX with Jev for Efficient Selective Control in LLM Agents,"[""Tiantong Wu"", ""Wei Yang Bryan Lim""]",2026-09-22T14:54:02Z,2026-09-22T14:54:02Z,"LLM agents often use generative models for bounded decisions, raising the question of when these decisions can be handled more efficiently without reducing task success. We study REFLEX, an agent architecture that uses Jev as a fast, typed decision layer and calls a strong LLM when confidence is low, or generation is required. On a frozen 100-task benchmark, REFLEX achieves 95% success with 72.7% fewer strong-model calls than a strong-only agent, with reductions persisting across three fallback families. Controlled interventions show that reliability depends on action-set size and near-valid alternatives near authorization boundaries. External BFCL and $τ$-style evaluations reveal limited advantages over a cheap generative cascade when ordinary routing is already highly accurate. These findings identify when selective control with Jev can reduce computation and where its benefits are limited.","[""cs.AI""]",,,,https://arxiv.org/abs/2609.26532v1,https://arxiv.org/pdf/2609.26532v1,core,Agent 控制与选择性升级,商业 Jev 控制层 + 强 LLM fallback,P0,冻结的 100 任务 REFLEX-Sim；多个 fallback 家族；BFCL 与 300 个 τ 风格 episode 外部验证。,100 任务上 95% 成功率，相对 strong-only agent 少 72.7% 强模型调用；收益受动作集合和授权边界附近候选影响。,外部任务普通路由接近饱和，相对廉价生成式级联优势有限；300 episode 不是完整 leaderboard，多次线上运行有漂移。,比较 Jev-only、strong-only、cheap-LLM cascade 与 Jev cascade；用成功率和实际调用预算评价。,,未定位到可唯一对应的作者代码仓库；不能与社区同名 reflex 合并。,Abstract; external evaluation and Limitations,False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
2609.25845,2609.25845v1,Visual Jev: Accurate and Efficient Decisions from Shared Visual Context,"[""Guanxu Yu"", ""Yuhang Yao""]",2026-09-22T08:12:29Z,2026-09-22T08:12:29Z,"Many vision applications ask several independent, forced-choice questions about the same image. Visual Jev encodes the image and public context once, executes isolated question suffixes as a batch, and reads candidate probabilities from the backbone's language-model head. Across four benchmarks, answer-supervised post-training raises equal-weight macro accuracy from 70.6% to 76.1%, with the gain concentrated on the two task families represented in training. At N=32 questions per image, shared batched execution is 8.9x faster in warm amortized time than independent serial execution and remains 3.4x faster than an already-batched baseline that recomputes the prefix, at the cost of higher peak memory. A matched typed-head control offers no consistent accuracy advantage over the language-model-head readout. The supported design is therefore simple: adapt the backbone for quality, retain the existing readout, and share execution for efficiency.","[""cs.CV"", ""cs.LG""]",Code: https://github.com/guanxuyu-sv/Visual-Jev,,,https://arxiv.org/abs/2609.25845v1,https://arxiv.org/pdf/2609.25845v1,core,开放模型与视觉扩展,独立 Visual Jev；并非 TypeSafe 视觉版,P0,Qwen3-VL-4B 为主，8B 扩展；GQA、SNLI-VE、TextVQA、TallyQA；单 RTX 5090。,四任务宏平均准确率 70.6%→76.1%；同图 32 问的共享批处理相对独立串行快 8.9 倍，相对不共享前缀的批处理快 3.4 倍。,5.7 ms 是组耗时除以 32，整组约 182 ms；不是独立请求延迟。收益主要在训练覆盖的任务，专用 typed head 没有稳定超越原 LM head。,把模型质量、读出方式、共享前缀和批处理四个效应分开；与文本特征输入的 JEVQA 分开分类。,https://github.com/guanxuyu-sv/Visual-Jev,已核实为项目页及结果 JSON；README 明示完整 evaluation tree 不在此仓库，不能标记完整训练/推理代码开放。,sections 4–5; Tables 2–3; Limitations; linked repository README,False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
2609.24965,2609.24965v1,Jev for Scientific Decisions: Evaluating Semantic Choices and Their Consequences,"[""Boyuan Deng"", ""Shuyi Fan"", ""Hongyang Zhang"", ""Xinhong Xie""]",2026-09-21T17:51:50Z,2026-09-21T17:51:50Z,"Scientific workflows often require choosing among known relations before a deterministic calculation can proceed. Whether observations share a culture, treatment or reference standard can change the scientific meaning of the resulting count or comparison. We evaluate Jev as a semantic decision component using a harness that follows its documented guidance and assigns arithmetic to code. The study compares twelve model configurations on twenty source-grounded Choices across ten scientific cases, each repeated five times. We measure semantic selections, downstream outputs and final claim labels separately. Jev matched five other configurations at complete semantic correctness and achieved the lowest observed median latency among successful responses. Across three comparison models, seven wrong selections on one culture-history question changed downstream counts while preserving the correct final label. These results identify a useful role for Jev in prepared scientific decision tasks and show why evaluating that role requires checking the relations and quantities that a workflow will reuse.","[""cs.CL"", ""cs.AI""]","11 pages, 1 figure, 5 tables. Includes references and appendices",,,https://arxiv.org/abs/2609.24965v1,https://arxiv.org/pdf/2609.24965v1,core,科学工作流与决策后果,商业 Jev 语义选择，代码计算,P1,10 个科学案例、20 个有来源的 Choice；12 配置，每项重复 5 次。,Jev 与另外 5 个配置达到全部语义选择正确，并在成功响应中中位延迟最低；错误选择有时改变计算数量却不改变最终结论标签。,样本极小，重复调用不增加独立案例数；所有路由案例的最终参考标签均为 inconsistent，错误集中在一个问题。,同时评估中间关系、下游数值和最终标签，避免只看终局标签掩盖过程错误。,,正文有详细协议与附录；未确认公开代码仓库。,Abstract; Limitations,False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
2609.24574,2609.24574v1,Evaluating Decision Models for Text Annotation in Computational Social Science,"[""Hazem Ibrahim"", ""Yasir Zaki""]",2026-09-21T13:41:54Z,2026-09-21T13:41:54Z,"Computational social science increasingly relies on large language models for text annotation, and the validity of published findings now rests on the labels generated by such models. Decision models, a new model class built for categorical question answering, answer typed questions with a choice, a probability distribution over the label set, and a confidence score rather than free text, at a small fraction of frontier inference prices. Whether their answers are accurate, and whether that stated confidence can be trusted on social science constructs, are unknown. Here, we mirror the evaluation of Ziems et al. (2024) on 18 computational social science classification tasks (7,977 items), comparing the first commercial decision model and two open-weight counterparts against 19 frontier and open-weight language models under the same zero-shot protocol. The decision model trails the per-task best LLM on 14 of 15 evaluation tasks, with a median deficit of 11.6 macro-F1 points, at a median 44 times lower measured cost. Its confidence is better calibrated than the verbalized confidence of 16 of the 19 LLMs, yet three frontier models show lower median calibration error (0.157 against 0.066). While items above 0.9 confidence are typically labeled accurately (median accuracy 0.815), on one task, empathy in peer-support dialogues, the model reports high confidence while performing near chance. Nonetheless, our results suggest that decision models are useful as a first step in the annotation pipeline: routing low-confidence items to an LLM matches or exceeds the LLM alone at a quarter to half of its cost.","[""cs.CL"", ""cs.CY""]","47 pages, 7 figures",,,https://arxiv.org/abs/2609.24574v1,https://arxiv.org/pdf/2609.24574v1,core,跨任务评测与社会科学标注,商业 Jev + 开放决策模型 + 19 个 LLM,P0,"18 个 CSS 分类任务、7,977 项；3 任务用于选择、15 任务用于主要评估；附录扩展到 Laya、decider、SemIf、Nimble 等。",15 个评估任务中 14 个落后于该任务最佳 LLM，macro-F1 中位差 11.6 个百分点，测得费用中位低 44 倍；低置信度升级可在所测任务上匹配或超过独用 LLM。,高置信度并非跨构念可靠：empathy 是显著失败例。LLM 口头置信度与原生概率不完全同构；旧公开语料存在未知训练重叠。,这是只检索 Jev 名称会漏掉的核心论文；提供 accuracy–cost–calibration 分歧的重要反证。,https://github.com/hazemibrahim97/decision-models-css,已读取作者 replication package README、文件树和 pilot_jev.py；包含原始调用记录与分析脚本，本轮未重跑。,Abstract; sections 3–5; Appendix B; repository,False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
2609.24395,2609.24395v1,"JEVQA - Video Quality from Metadata, Bitstream, and Pixel Features with a General-Purpose Decision Model","[""Werner Robitza""]",2026-09-21T10:45:00Z,2026-09-21T10:45:00Z,"Instrumental quality models for video quality prediction are usually trained for a fixed set of codecs or other input features, and every new input variable requires retraining. Novel, general-purpose decision models can answer questions without task-specific training, but it is unclear whether they can judge video quality. We evaluate Jev, a commercial ``System One'' model that returns probability distributions over a provided answer scale, as a zero-shot video quality model. We call the resulting method JEVQA. In a first study on 1,936 AV1, H.264, HEVC, and VP9 encodes of 22 sources, scored against VMAF as ground truth, using encoding metadata only, JEVQA reached a Pearson correlation of 0.737, on par with the standardized ITU-T P.1204.1 model (0.733). Giving the model bitstream data raised the accuracy to 0.797, and combined pixel-based and bitstream features raised it to 0.824. A pixel-only variant failed in our tests. In a second study, using H.264, HEVC, and VP9 encodes in the AVT-VQDB-UHD-1 database, the metadata-only model reached a correlation of 0.879 with MOS, close to P.1204.1 (0.898). Bitstream statistics did not help there. Our results show that trained models on the same features remain clearly ahead in both studies, but that zero-shot classifiers are promising.","[""eess.IV""]",,,,https://arxiv.org/abs/2609.24395v1,https://arxiv.org/pdf/2609.24395v1,core,视频质量的结构化特征判别,商业文本 Jev 读取视频特征，非原生视频输入,P1,"Study A: 22 源视频、1,936 个编码版本、VMAF；Study B: AVT-VQDB-UHD-1 的 562 个主观评分编码版本。",A 中仅元数据 PLCC 0.737，加入 bitstream 为 0.797，组合 pixel 特征达 0.824；B 中元数据与 MOS 相关性 0.879。,A 的参考是 VMAF 而非人类 MOS；B 的标准模型见过部分数据库。相同特征上训练的模型仍领先，pixel-only 失败；不能据此说 Jev 能看视频。,拆分感知预处理、特征设计与决策模型贡献；区分零样本和受监督基线。,,已读全文；文中视频工具的仓库不等于该研究完整复现包。,sections III–VI; Limitations,False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
2609.24052,2609.24052v1,Calibrated Decisions at Scale: Converting Police Crash Narratives into Probabilistic Crash Variables with a System One Model (Jev),"[""Amir Rafe"", ""Subasish Das""]",2026-09-21T03:24:47Z,2026-09-21T03:24:47Z,"Crash datasets that carry an investigator narrative hold information the coded fields omit. Coding those narratives at scale has been blocked by three obstacles. Frontier large language models are costly at that scale, their generated text cannot be verified, and no rule says how much output a human must check. This paper formulates narrative coding as gated, typed decisions answered by Jev, a System One model that returns probabilities over analyst-defined options and generates no text. A screen covered 499,500 Texas narratives and 195,857 were coded with a 27-question schema. Cost is governed by schema size rather than narrative length. The probabilities are audited against coded fields and against 2,416 blinded human judgments drawn under a stated sampling design. Two frontier large language models are benchmarked on the same records. Against human labels the typed model attains an F1 of 0.908. One frontier model gains 0.059 and the other is indistinguishable from it. Calibration varies by model rather than by paradigm, so each model must be audited. Recalibration on the same labels reduces calibration error by a factor of 3.3. Agreement with coded fields understates fidelity to the narrative by a median of 0.26 in kappa. A resolution-floor bound covers any model that reports probabilities on a discrete grid. A review budget over flagged records gives the records a human must read per variable and per year. Adding the calibrated variables to the coded fields raises the injury and fatal crashes attributed to nine factors by 10,747 per year.","[""cs.CL""]",,,,https://arxiv.org/abs/2609.24052v1,https://arxiv.org/pdf/2609.24052v1,core,规模化标注与概率审计,商业 Jev 编码交通事故叙述,P0,"筛查 499,500 份 Texas 事故叙述，195,857 份进入 27 问完整 schema；2,416 个人工盲审判断。",对人工标签 F1 为 0.908；一个 frontier 模型高 0.059，另一个差异不显著；重校准将误差缩小约 3.3 倍。,单地区、单版本、单 schema；底层叙述及带 ID 的记录不可重分发，去标识人工审计表仍受数据许可。不能把拟合重校准结果当新领域保证。,区分行政编码与人工叙述真值；把概率可靠性落实为人工复核工作量；展示大规模但受限的数据开放。,https://github.com/pozapas/jev-calibrated-narrative-coding,已读取作者仓库；公开 schema/runner/聚合结果，记录级复现受数据协议限制。,Abstract; sections 3–5; Data and code availability,False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
2609.23986,2609.23986v1,Jev-Mem: System-One-Controlled Agentic Memory for Efficient AI Agents,"[""Dongming Jiang"", ""Yi Li"", ""Bingzhe Li""]",2026-09-21T01:43:12Z,2026-09-21T01:43:12Z,"Agentic memory is becoming essential for long-horizon AI agents, yet many existing systems rely on autoregressive LLMs to control how memories are organized, retrieved, and used, placing expensive generation on the critical path of memory operations. We introduce \textbf{\method}, a new agentic memory architecture inspired by System-One/System-Two cognition. System One captures fast, lightweight decision-making, whereas System Two performs slower, deliberative reasoning. Jev-Mem brings this division of labor to agentic memory through a dedicated System-One control plane, a structured multi-relational memory plane, and a System-Two reasoning plane. The System-One controller governs memory typing and relational organization during construction, and dynamically performs query routing, retrieval-budget allocation, graph traversal, candidate scoring, and adaptive stopping during retrieval. System Two is invoked only for complex reasoning and answer synthesis. This design improves both memory effectiveness and system efficiency: on LoCoMo Jev-Mem achieves an overall LLM-as-a-Judge score of 0.777, an 11.0\% relative improvement over the strongest baseline, while reducing memory construction time to 158\,s, a 6.6$\times$ speedup over the fastest competing memory system, and lowering average query latency to 0.93\,s, a 36.7\% reduction.","[""cs.AI"", ""cs.LG""]",,,,https://arxiv.org/abs/2609.23986v1,https://arxiv.org/pdf/2609.23986v1,core,Agent 记忆,商业 Jev 控制平面 + 图记忆 + System Two,P1,LoCoMo；记忆类型、组织、路由、检索预算、遍历、排序、停止等控制环节。,LoCoMo LLM-as-a-Judge 0.777，相对最强基线提高 11.0%；构建 158 秒，相对最快基线快 6.6 倍；平均查询 0.93 秒，降低 36.7%。,不同数值各自对应不同基线；结果属于完整记忆系统而非 Jev 单模型。需结合消融及 judge 依赖，跨数据集/环境外推待测。,System One 做资源与访问控制，System Two 做回答；需要逐模块归因，而非以系统增益证明模型普遍优势。,https://github.com/libingzheren/Jev-Mem,已核实 memory/jev_client.py 调用 system_one；未执行实验。,Abstract; Experiments; memory/jev_client.py,False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
2609.23959,2609.23959v1,Open-Jev Judgments on CallScreenBench: Calibrated One-Pass Scam Screening with a Small Language Model,"[""Simiao Ren"", ""Kidus Zewde"", ""Xingyu Shen"", ""Yuchen Zhou"", ""Dennis Ng"", ""Ankit Raj"", ""Tommy Duong"", ""Yuxin Zhang"", ""Neo Tiangratanakul""]",2026-09-21T00:09:24Z,2026-09-21T00:09:24Z,"Screening a phone call for fraud needs a trustworthy probability after every caller turn, in milliseconds. Jev-style typed decisions promise exactly that: declared options go in, one calibrated probability per option comes out of a single forward pass, with no generated text. We test an open implementation of this readout, JevLite, on scam-call screening: Qwen3-4B is LoRA-tuned so that the temperature-scaled softmax over two answer-label logits is P(scam). On 41 held-out CallScreenBench scenarios (577 per-turn decisions) a three-seed ensemble reaches AUROC .974 with calibration error .052, non-inferior to an LLM judge (MiniMax-M3) at a pre-registered .02 margin, with no false alarms on legitimate calls, decisions 1.14 turns earlier under the same hang-up rule, and 64.5 ms per decision on one consumer GPU, 4.9x lower than the same backbone fine-tuned to generate its answer. The gain is in the readout and calibration, not accuracy: a fine-tuned ModernBERT encoder is not significantly worse, the recipe was selected with test-set exposure, and all callers are synthetic. We claim no architectural novelty; the contribution is the application and an evaluation reporting calibration, false alarms and decision timing alongside AUROC.","[""cs.CL""]","13 pages, 6 figures, 5 tables",,,https://arxiv.org/abs/2609.23959v1,https://arxiv.org/pdf/2609.23959v1,core,开放决策模型与诈骗电话筛查,JevLite，独立 Qwen3-4B LoRA 实现,P1,CallScreenBench 41 个测试场景、577 个逐轮判断；三种训练种子；合成来电。,三种子集成 AUROC 0.974、ECE 0.052；同挂断规则下早 1.14 轮；报告单消费 GPU 决策 64.5 ms，比生成式同骨干低 4.9 倍。,配方选择接触过测试集，存在选择偏差；ModernBERT 的准确性未显著更差。单次延迟和三模型集成应按表中测量范围分别理解，不能互换。,相同骨干、不同读出和校准的消融；用误报及决策时刻衡量实际用途。,,未定位到可唯一对应的公开完整代码包；名称类似的 OpenJev 项目不能自动认作本文代码。,Abstract; Experimental protocol; Results,False,full_text_and_selected_tables,author_report_not_independently_reproduced,2026-09-23,
