id,subject,headline,claim_text,evidence_type,locator,source_url,metric,value,unit,baseline,task,sample_n,sample_unit_or_reason,model,model_version,hardware,test_level,measurement_scope,findings,limitations
c-26758-hosted-swap,arxiv:2609.26758,Hosted Jev AUROC .8146 → .5806 after name–rubric swap; 0% type errors,"Swapping the rubrics behind the option names no/yes changed 32.50% of the hosted model’s answers (neutral names: 2.08% and 1.67%), lowered balanced accuracy from .7127 to .5163 and AUROC from .8146 to .5806.",author_reported_experiment,§4.6; Table 6,https://arxiv.org/abs/2609.26758v1,AUROC,"{""aligned"": 0.8146, ""swapped"": 0.5806}",,aligned name–rubric binding; neutral-name controls,binary workflow decisions with task-specific rubrics,1200,items,hosted TypeSafe model,null (not_reported),null (not_applicable_hosted),model_test,not_applicable,F1:supports,"Hosted model is non-deterministic; observed at one point in time.; Contrast 30.42 pts, 95% CI [27.58, 33.33]."
c-26758-retest,arxiv:2609.26758,Test–retest floor ≤1.33% answer flips; swap = 24× the floor,"Asking the aligned arm twice (300 items × 2 name pairs), the hosted model changed at most 1.33% of answers; the name swap produced 24× that test–retest floor, and at most 36.33% of probabilities repeated bit-for-bit.",author_reported_experiment,§4.6,https://arxiv.org/abs/2609.26758v1,answer flip rate (test–retest),0.0133,,,repeat identical requests,600,item × name-pair repeats,hosted TypeSafe model,null (not_reported),null (not_applicable_hosted),model_test,not_applicable,F1:supports; F7:supports,Floor measured on a subset (300 items).
c-26758-open-inversion,arxiv:2609.26758,"Open marker head: AUROC .9376 → .2315 (inversion), 76.92% flips","In an open ModernBERT-large marker-readout head, the same swap changed 76.92% of answers against 6.50% behind 0/1 (difference-in-differences 70.42 pts) and inverted AUROC from .9376 to .2315.",author_reported_experiment,Abstract; §§4.1–4.2,https://arxiv.org/abs/2609.26758v1,AUROC,"{""aligned"": 0.9376, ""swapped"": 0.2315}",,neutral names 0/1,binary workflow decisions,1200,items,open marker-readout encoder head (not Jev),one released checkpoint (name in unlocated harness),null (not_reported),model_test,not_applicable,F1:supports; F5:supports,This result is for an open checkpoint and must not be attributed to hosted Jev.; A mean-pooling span head flips 4.1× less often.
c-26758-type-errors,arxiv:2609.26758,"Type-error rate 0% in every condition, by construction","The type-error rate was 0% in every condition, including those where decision accuracy collapsed; the paper shows this follows from the renormalised softmax over the declared options (Lemma 1).",author_reported_experiment,Abstract; §3 (Lemma 1),https://arxiv.org/abs/2609.26758v1,type-error rate,0.0,,,all arms,,all_conditions,hosted model and two open heads,null (not_reported),null (not_reported),model_test,not_applicable,F1:supports,"A 0% type-error rate is a property of the read-out, so it carries no information about decision quality."
c-26758-random-names,arxiv:2609.26758,Random-string names return flips to the neutral regime (2–12%),"Replacing option names with random character strings returned flip rates to the neutral-control regime in all three families (6.86%, 11.67%, 2.02%) while aligned balanced accuracy stayed within .03 of the neutral class.",author_reported_experiment,§4.7; Table 7,https://arxiv.org/abs/2609.26758v1,answer flip rate,"{""marker"": 0.0686, ""span_mean"": 0.1167, ""hosted"": 0.0202}",,neutral names 0/1 and A/B,,1200,items (hosted arm),three read-out families,null (not_reported),null (not_reported),model_test,not_applicable,F1:qualifies,Suggests neutral identifiers as a mitigation; the mitigation itself was not evaluated in deployment.
c-26758-multiway,arxiv:2609.26758,Multi-way: neutral renaming flips 52.42%; accuracy .5637 → .2782,"On 683 multi-way questions, renaming members to neutral letters without touching descriptions changed 52.42% of answers and dropped accuracy from .5637 to .2782 (open marker head).",author_reported_experiment,§4.5; Table 4,https://arxiv.org/abs/2609.26758v1,accuracy,"{""shipped"": 0.5637, ""neutral_renamed"": 0.2782}",,,,683,questions,open marker-readout encoder head (not Jev),null (not_reported),null (not_reported),model_test,not_applicable,F1:supports,Pool accuracy is low (.5637); authors treat the arm as directional.
c-26550-quality,arxiv:2609.26550,RewardBench 92.2% vs 93.5%; HaluEval 87.5% vs 86.7% (GPT-6),"On RewardBench Jev scored 92.2% against GPT-6’s 93.5% (paired difference −1.25 points, 95% cluster interval [−3.8, 1.5]); on HaluEval 87.5% against 86.7%. Blind adjudication of disagreements put Jev within three points of GPT-6.",author_reported_experiment,§5 (ordinary preference and evidence-grounded factuality),https://arxiv.org/abs/2609.26550v1,accuracy,"{""RewardBench"": {""jev"": 0.922, ""gpt6"": 0.935}, ""HaluEval"": {""jev"": 0.875, ""gpt6"": 0.867}}",,GPT-6 Astra (strongest comparator),pairwise preference; evidence-grounded factuality,,per_benchmark_sizes_in_paper,Jev,jev-1.13.0,null (not_applicable_hosted),model_test,not_applicable,F3:supports,Adjudication by one author on disagreement-selected items.; Larger gaps on derivation checking and style-adversarial pairs.
c-26550-fee,arxiv:2609.26550,"0.36% of the comparator’s fee; ≈$0.04 per 1,000 judgments at 0.15 s","Jev’s fee on the latency panel was 0.36% of the strongest comparator’s; the authors summarise it as about $0.04 per 1,000 judgments at 0.15 s.",author_reported_experiment,Abstract; §4 (latency and fees); Conclusion,https://arxiv.org/abs/2609.26550v1,fee ratio,0.0036,fraction of comparator fee,GPT-6 Astra,,120,decisions (latency panel),Jev,jev-1.13.0,null (not_applicable_hosted),model_test,end_to_end,F4:supports,"Fees are estimates from reported usage at collection-time prices, not invoices.; One client location, pacing and provider load."
c-26550-cascade,arxiv:2609.26550,Frozen two-order cascade: 99% of GPT-6 accuracy at 57% of its fee,A frozen two-order cascade that accepts confident Jev verdicts and escalates uncertain ones kept 99% of GPT-6’s accuracy at 57% of its fee.,author_reported_experiment,Abstract; §7; Conclusion,https://arxiv.org/abs/2609.26550v1,accuracy retained / fee,"{""accuracy_retained"": 0.99, ""fee_fraction"": 0.57}",,GPT-6 Astra alone,,,per_benchmark_sizes_in_paper,Jev → GPT-6 cascade,jev-1.13.0,null (not_applicable_hosted),model_test,simulation,F3:supports; F4:qualifies,Simulated cascade fees say nothing about real cascade latency.; Thresholds chosen on a selection set did not transfer for every fallback.
c-26550-confidence,arxiv:2609.26550,Native confidence ~ max probability (Spearman .948–.999),"Jev’s native confidence had Spearman correlation 0.971, 0.999 and 0.948 with the maximum label probability on RewardBench, JudgeBench and HaluEval, so the authors used max-probability for deferral.",author_reported_experiment,§4 (JEV and the shared contract),https://arxiv.org/abs/2609.26550v1,Spearman ρ,"{""RewardBench"": 0.971, ""JudgeBench"": 0.999, ""HaluEval"": 0.948}",,,,,per_benchmark_sizes_in_paper,Jev,jev-1.13.0,null (not_applicable_hosted),model_test,not_applicable,F2:qualifies,"Correlation of rankings, not a description of how confidence is computed."
