arxiv_id,title,url,queries,screening_decision,reason,screening_depth,reviewer_count
cs/0607143,Target Type Tracking with PCR5 and Dempster's rules: A Comparative Analysis,https://arxiv.org/abs/cs/0607143v1,"[""Q04_typed_decision""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
cond-mat/0210037,Magnetosuperconductivity in ruthenocuprates RuSr2GdCu2O8(Ru 1212) and RuSr2(Gd0.75Ce0.25)2Cu2O10 (Ru 1222) a critical review,https://arxiv.org/abs/cond-mat/0210037v1,"[""Q07_jev_survey""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
astro-ph/0312269,The Canada-UK Deep Submillimetre Survey VIII: Source Identifications in the 3-hour field,https://arxiv.org/abs/astro-ph/0312269v1,"[""Q07_jev_survey""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
astro-ph/0302582,The VLT-UVES survey for molecular hydrogen in high-redshift damped Lyman-alpha systems,https://arxiv.org/abs/astro-ph/0302582v3,"[""Q07_jev_survey""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.26758,"Type-Safe Is Not Error-Free: A Constrained Decision Head Follows the Option Name, Not the Rubric Bound to It",https://arxiv.org/abs/2609.26758v1,"[""Q01_jev"", ""Q04_typed_decision"", ""Q10_recent_decision_models""]",core,商业 Jev 黑箱评测 + 两种开放决策头,metadata_relevance_screen,1
2609.26550,"JEV-as-a-Judge: Accept When Confident, Escalate When Unsure",https://arxiv.org/abs/2609.26550v1,"[""Q01_jev"", ""Q10_recent_decision_models""]",core,商业 Jev 与生成式/奖励模型 judge 比较,metadata_relevance_screen,1
2609.26532,REFLEX with Jev for Efficient Selective Control in LLM Agents,https://arxiv.org/abs/2609.26532v1,"[""Q01_jev"", ""Q04_typed_decision"", ""Q10_recent_decision_models""]",core,商业 Jev 控制层 + 强 LLM fallback,metadata_relevance_screen,1
2609.26293,Dual-Frontier: When Can an Agent Trust Its World Model?,https://arxiv.org/abs/2609.26293v1,"[""Q10_recent_decision_models""]",outside_core_scope,标题/摘要筛查未建立与 Jev 或所界定 Jev 类决策接口的直接研究联系；不据此判断论文质量。,metadata_relevance_screen,1
2609.25845,Visual Jev: Accurate and Efficient Decisions from Shared Visual Context,https://arxiv.org/abs/2609.25845v1,"[""Q01_jev""]",core,独立 Visual Jev；并非 TypeSafe 视觉版,metadata_relevance_screen,1
2609.25498,Universal Fractal Natural Language Decision Map: Real-Time Edge Triage Across Heterogeneous Domains,https://arxiv.org/abs/2609.25498v1,"[""Q03_system_one"", ""Q11_recent_systemone""]",peripheral,werr / Universal Fractal，自称 JevBench 替代方案,metadata_relevance_screen,1
2609.24965,Jev for Scientific Decisions: Evaluating Semantic Choices and Their Consequences,https://arxiv.org/abs/2609.24965v1,"[""Q01_jev""]",core,商业 Jev 语义选择，代码计算,metadata_relevance_screen,1
2609.24574,Evaluating Decision Models for Text Annotation in Computational Social Science,https://arxiv.org/abs/2609.24574v1,"[""Q10_recent_decision_models""]",core,商业 Jev + 开放决策模型 + 19 个 LLM,metadata_relevance_screen,1
2609.24395,"JEVQA - Video Quality from Metadata, Bitstream, and Pixel Features with a General-Purpose Decision Model",https://arxiv.org/abs/2609.24395v1,"[""Q01_jev"", ""Q03_system_one"", ""Q06_jevqa"", ""Q10_recent_decision_models"", ""Q11_recent_systemone""]",core,商业文本 Jev 读取视频特征，非原生视频输入,metadata_relevance_screen,1
2609.24052,Calibrated Decisions at Scale: Converting Police Crash Narratives into Probabilistic Crash Variables with a System One Model (Jev),https://arxiv.org/abs/2609.24052v1,"[""Q01_jev"", ""Q03_system_one"", ""Q04_typed_decision"", ""Q05_calibrated_decisions"", ""Q10_recent_decision_models"", ""Q11_recent_systemone""]",core,商业 Jev 编码交通事故叙述,metadata_relevance_screen,1
